Hallway Type,Time To Subway St.,Subway Station,No. Facilities Nearby,No. Public Offices Nearby,No. Universities Nearby,No. Parking Lots,Year Built,No. Facilities Inside,Unit Area (sqft),Sale Price (KRW)
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,85840
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,221238
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,281858
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,279646
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,100884
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,362831
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,1192,242300
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,402654
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,191150
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,252212
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,253982
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,104867
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,158407
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,179646
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,137168
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,175221
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,71681
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,380530
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,192035
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,238053
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,446902
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,451,68584
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,232743
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,265486
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,227433
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,779,131858
Terraced,0 - 5 min,Myungduk,5,7,5,1174,1980,9,736,61946
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,237168
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,145132
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,110619
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,261061
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,236283
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,256637
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,215929
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,153539
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,243362
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,125221
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,221238
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,277876
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,255442
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,249557
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,350884
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,176991
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,129646
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,148672
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,287610
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,210619
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,210619
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,464601
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,171238
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,415929
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,411504
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,160176
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,356637
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,71238
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,358407
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,153097
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,120796
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,67256
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,138,55752
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,219469
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,218584
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,504424
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,254867
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,389380
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,320353
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,83902
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,93805
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,1192,245132
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,218584
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,324778
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,163716
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,234513
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,340707
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,266371
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,168141
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,244690
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,200000
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,58407
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,407424
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,250442
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,208849
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,256637
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,307964
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,339823
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,236283
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,78318
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,83628
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,312389
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,184070
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,910,164601
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,205309
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,419469
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,345132
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,163716
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,163716
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,104424
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,132743
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,158407
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,346017
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,106194
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,181415
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,117699
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,221238
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,242477
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,165929
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,295575
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,250442
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,283185
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,139823
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,323008
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,157522
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,191150
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,82300
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,360176
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,209734
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,146017
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,307079
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,266814
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,68141
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,60619
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,250442
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,430,58407
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,265044
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,157522
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,73893
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,307079
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,367256
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,323088
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,221238
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,154867
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,221238
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,135398
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,162831
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,216814
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,225663
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,63716
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,1035,451327
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,383185
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,101769
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,333628
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1448,300884
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,281415
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,62831
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,157522
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,270796
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,317699
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,438053
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,194690
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,60973
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,380530
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,296460
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,238053
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,280530
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,172566
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,372566
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,203539
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,274336
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,326548
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,246017
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,288053
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,315929
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,178761
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,378761
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,176991
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,398230
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,155752
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,446017
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,224778
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,353982
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,287610
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,125663
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,65486
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,232743
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,207964
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,88318
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1092,420353
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,210265
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,65929
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,176991
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,384955
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,160176
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,192920
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,349115
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,236283
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,92920
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,193805
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,59115
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,158407
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,327433
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,203539
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,2092,367256
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,262929
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,315044
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,123008
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,398230
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,176991
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,242477
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,914,389380
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,176991
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,66814
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,265486
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,220353
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,168141
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,199637
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,290265
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,141592
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,242274
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,427433
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,261061
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,907,296460
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,62831
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,395575
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,307079
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,100884
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,152654
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,349557
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,295575
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,234513
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,159292
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,278761
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,289380
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,445132
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,148707
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,170796
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,394353
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,190106
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,338938
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,286725
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,255752
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,269026
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,265486
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,297345
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,283185
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,190265
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,176106
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,130973
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,181415
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,86725
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,199115
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,228318
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,119469
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,219469
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,243362
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,127876
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,168141
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,130088
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,79646
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,170353
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,377876
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,283185
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,144247
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,388495
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,285433
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,253982
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,53982
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,261592
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,336283
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,215044
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,156194
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,331415
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,330088
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,320469
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,383185
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,436283
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,110619
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,159292
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,162831
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,278761
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,416814
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,174336
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,180530
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,223008
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,236725
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,123893
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,57964
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,61504
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,118584
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,177876
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,75221
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,320353
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,252212
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,175221
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,173451
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,282566
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,199469
Mixed,15 min - 20 min,Chilsung,1,7,3,56,2003,5,907,117699
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,182300
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,185840
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,307079
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,153982
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,302654
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,49115
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,203539
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,194690
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,262389
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,176991
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,230088
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,69026
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,205752
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,119469
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,294690
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,118584
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,161061
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,161946
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,356637
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,181415
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,232743
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,200000
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,1252,471504
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,207964
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,128318
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1291,429203
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,99115
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,150000
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,207964
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,238053
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,137168
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,371681
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,361061
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,185398
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,138053
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,504424
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,307079
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,185840
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,96017
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,112389
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,256637
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,310619
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,66371
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,311504
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,202654
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,644,254867
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,227433
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,48053
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,274336
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,128318
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,154159
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,202654
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,871,161061
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,286725
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,93362
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,362831
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,161061
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,178318
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,178761
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,445132
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,914,119469
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,2092,230088
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,217699
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,218584
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,234513
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,300000
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,349557
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,206194
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,515929
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,223008
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,159292
